C:\4c\Engineering\bin>PLIST 4cpcdl
Microsoft (R) PLIST Version 6.00.8168.0
Copyright (c) Microsoft Corp 1991-1998. All rights reserved.

Profile: Function timing, sorted by time
Date:    Wed Jun 07 17:09:08 2006


Program Statistics
------------------
    Command line at 2006 Jun 07 17:07: 4dl C:\4c\Projects\d-236\MassTest\MassTest.4cp win1
    Total time: 87729,071 millisecond
    Time outside of functions: 11020,905 millisecond
    Call depth: 17
    Total functions: 1322
    Total hits: 345877
    Function coverage: 39,0%
    Overhead Calculated 963
    Overhead Average 963

Module Statistics for 4cpcdl.dll
--------------------------------
    Time in module: 76708,166 millisecond
    Percent of time in module: 100,0%
    Functions in module: 1322
    Hits in module: 345877
    Module function coverage: 39,0%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
   69788,951  91,0    70380,843  91,8        1 CStation::WriteVersionDomain(void) (dlstat.obj)
    3977,125   5,2     3977,275   5,2        1 CStation::CommitDownload(int) (dlstat.obj)
    1098,395   1,4     1109,650   1,4      725 CDaoRecordset::Open(int,char const *,int) (mfc42.dll)
     477,434   0,6      480,387   0,6        1 CStation::DeleteDomains(char const *) (dlstat.obj)
     208,228   0,3      342,469   0,4     2855 CDaoRecordset::Update(void) (mfc42.dll)
     195,112   0,3      216,032   0,3     2855 CDaoRecordset::Edit(void) (mfc42.dll)
     173,868   0,2      184,075   0,2     2856 CDaoRecordset::Move(long) (mfc42.dll)
     121,150   0,2      121,150   0,2      725 CDaoRecordset::Close(void) (mfc42.dll)
      84,390   0,1       84,390   0,1     3567 CDaoRecordset::SetFieldValue(char const *,class COleVariant const &) (mfc42.dll)
      63,682   0,1       63,682   0,1        4 CCsvExp::Close(void) (csvexp.obj)
      58,523   0,1       73,855   0,1     4280 CCsvExp::WriteString(class CString &) (csvexp.obj)
      50,587   0,1       52,197   0,1      716 CProxyIDLEvents<class CImpCEDL>::Fire_OnDownloadState(unsigned short *,unsigned short *,float,enum __MIDL___MIDL_itf_cedl_0000_0002) (dlstat.obj)
